Prov,Prefx,Capacity
Jiangsu,Zhenjiang,11.15
Jiangxi,Fuzhoux,0.0
Jiangxi,Ganzhou,0.0
Jiangxi,Jian,0.0
Jiangxi,Jingdezhen,1.21
Jiangxi,Jiujiang,0.0
Jiangxi,Nanchang,0.0
Jiangxi,Pingxiang,0.0
Jiangxi,Shangrao,2.76
Jiangxi,Xinyu,0.0
Jiangxi,Yichun,0.0
Jiangxi,Yingtan,0.0
Jilin,Baicheng,67.24
Jilin,Baishan,0.03
Jilin,Changchun,87.18
Jilin,Jilinx,29.12
Jilin,Liaoyuan,17.74
Jilin,Siping,36.01
Jilin,Songyuan,73.89
Jilin,Tonghua,17.39
Jilin,Yanbian,1.16
Liaoning,Anshan,27.53
Liaoning,Benxi,1.45
Liaoning,Chaoyang,64.23
Liaoning,Dalian,37.17
Liaoning,Dandong,23.47
Liaoning,Fushun,6.44
Liaoning,Fuxin,35.54
Liaoning,Huludao,35.56
Liaoning,Jinzhou,31.81
Liaoning,Liaoyang,13.01
Liaoning,Panjin,1.41
Liaoning,Shenyang,43.13
Liaoning,Tieling,42.36
Liaoning,Yingkou,12.48
Ningxia,Guyuan,18.08
Ningxia,Shizuishan,14.85
Ningxia,Wuzhong,60.52
Ningxia,Yinchuan,24.66
Ningxia,Zhongwei,36.35
Qinghai,Guoluo,0.0
Qinghai,Haibei,0.0
Qinghai,Haidong,0.0
Qinghai,Hainanx,7.8
Qinghai,Haixi,268.92
Qinghai,Huangnan,0.2
Qinghai,Xining,0.0
Qinghai,Yushu,0.0
Shaanxi,Ankang,0.0
Shaanxi,Baoji,0.0
Shaanxi,Hanzhong,0.0
Shaanxi,Shangluo,0.0
Shaanxi,Tongchuan,1.44
Shaanxi,Weinan,2.31
Shaanxi,Xian,0.0
Shaanxi,Xianyang,0.0
Shaanxi,Yanyan,18.12
Shaanxi,Yulinx,33.13
Shandong,Binzhou,29.73
Shandong,Dezhou,37.63
Shandong,Dongying,14.3
Shandong,Heze,43.35
Shandong,Jinan,34.17
Shandong,Jining,34.58
Shandong,Liaocheng,30.6
Shandong,Linyi,58.94
Shandong,Qingdao,32.76
Shandong,Rizhao,18.03
Shandong,Taian,25.86
Shandong,Weifang,51.19
Shandong,Weihai,17.11
Shandong,Yantai,44.73
Shandong,Zhaozhuang,14.93
Shandong,Zibo,18.08
Shanghai,Shanghai,6.09
Shanxi,Changzhi,38.46
Shanxi,Datong,41.68
Shanxi,Jincheng,19.54
Shanxi,Jinzhong,19.13
Shanxi,Linfen,16.3
Shanxi,Lvliang,22.62
Shanxi,Shuozhou,38.86
Shanxi,Taiyuan,14.36
Shanxi,Xinzhou,54.42
Shanxi,Yangquan,0.0
Shanxi,Yuncheng,2.78
Sichuan,Aba,0.0
Sichuan,Bazhong,0.0
Sichuan,Chengdu,0.0
Sichuan,Dazhou,0.0
Sichuan,Deyang,0.0
Sichuan,Ganzi,0.06
Sichuan,Guangan,0.0
Sichuan,Guangyuan,0.0
Sichuan,Leshan,0.0
Sichuan,Liangshan,0.78
Sichuan,Luzhou,0.0
Sichuan,Meishan,0.0
Sichuan,Mianyang,0.0
Sichuan,Nanchong,0.0
Sichuan,Neijiang,0.0
Sichuan,Panzhihua,0.08
Sichuan,Suining,0.0
Sichuan,Yaan,0.0
Sichuan,Yibin,0.0
Sichuan,Zigong,0.0
Sichuan,Ziyang,0.0
Sinkiang,Aksu,5.55
Sinkiang,Altay,142.28
Sinkiang,Arai,0.0
Sinkiang,Bayingolin,637.01
Sinkiang,Beitun,0.46
Sinkiang,Bortala,0.0
Sinkiang,Changji,139.57
Sinkiang,Hami,424.16
Sinkiang,Hotan,134.71
Sinkiang,Huyanghe,2.33
Sinkiang,IliKazakh,17.52
Sinkiang,Karamay,14.17
Sinkiang,Kashgar,0.03
Sinkiang,KizilsuKirgiz,20.74
Sinkiang,Kokdala,3.5
Sinkiang,Kunyu,0.0
Sinkiang,Shihezi,0.0
Sinkiang,Shuanghe,0.0
Sinkiang,Tacheng,153.54
Sinkiang,Tiemenguan,0.0
Sinkiang,Tumshuk,0.0
Sinkiang,Turpan,130.79
Sinkiang,Urumqi,7.24
Sinkiang,Wujiaqu,0.0
Taiwan,Taiwanx,6.3
Tianjin,Tianjin,22.24
Tibet,Ali,0.0
Tibet,Changdu,0.0
Tibet,Lhasa,0.0
Tibet,Nagqu,0.0
Tibet,Nyingchi,0.0
Tibet,Shannan,0.0
Tibet,Shigatse,0.0
Yunnan,Baoshan,0.0
Yunnan,Chuxiong,28.13
Yunnan,Dali,0.01
Yunnan,Dehong,0.0
Yunnan,Diqing,0.0
Yunnan,Honghe,15.73
Yunnan,Kunming,33.66
Yunnan,Lijiang,0.0
Yunnan,Lincang,0.0
Yunnan,Nujiang,0.0
Yunnan,Puer,0.0
Yunnan,Qujing,20.14
Yunnan,Wenshan,38.84
Yunnan,Xishuangbanna,0.0
Yunnan,Yuxi,7.11
Yunnan,Zhaotong,0.0
Zhejiang,Hangzhou,0.04
Zhejiang,Huzhou,3.81
Zhejiang,Jiaxing,9.25
Zhejiang,Jinhua,0.0
Zhejiang,Lishui,0.02
Zhejiang,Ningbo,16.36
Zhejiang,Quzhou,0.0
Zhejiang,Shaoxing,7.8
Zhejiang,Taizhou,16.73
Zhejiang,Wenzhou,13.32
Zhejiang,Zhoushan,0.1
