,2025,2030,2040,2050
PV,24.32565451,21.3556172,17.62922714,16.02855429
WT,34.24246667,32.0652,29.86814,27.67108
PEM,65.092802,44.49372,37.0781,29.66248
SOE,66.24538,26.69128,22.24686,17.80244
LiB,42.64009893,35.74216189,30.23045455,24.72126646
HST,24.38730009,21.9486294,21.9486294,17.55890352
SST,2.254045234,2.14357459,1.938610436,1.753244528
RWS,19.29475205,18.34911721,16.5946127,15.00787027
MSR,566.27598,566.27598,566.27598,566.27598
CGG,61.85329364,61.85329364,61.85329364,61.85329364
