Prov,Prefx,Capacity
Jiangsu,Zhenjiang,21.13
Jiangxi,Fuzhoux,138.33
Jiangxi,Ganzhou,322.65
Jiangxi,Jian,232.94
Jiangxi,Jingdezhen,33.85
Jiangxi,Jiujiang,33.47
Jiangxi,Nanchang,0.45
Jiangxi,Pingxiang,35.65
Jiangxi,Shangrao,124.29
Jiangxi,Xinyu,38.22
Jiangxi,Yichun,148.51
Jiangxi,Yingtan,38.75
Jilin,Baicheng,119.5
Jilin,Baishan,3.12
Jilin,Changchun,28.05
Jilin,Jilinx,16.43
Jilin,Liaoyuan,5.89
Jilin,Siping,11.72
Jilin,Songyuan,47.62
Jilin,Tonghua,8.12
Jilin,Yanbian,1.17
Liaoning,Anshan,40.37
Liaoning,Benxi,1.71
Liaoning,Chaoyang,123.1
Liaoning,Dalian,31.09
Liaoning,Dandong,53.61
Liaoning,Fushun,4.23
Liaoning,Fuxin,20.82
Liaoning,Huludao,42.03
Liaoning,Jinzhou,15.51
Liaoning,Liaoyang,9.59
Liaoning,Panjin,1.08
Liaoning,Shenyang,17.67
Liaoning,Tieling,19.36
Liaoning,Yingkou,15.24
Ningxia,Guyuan,22.6
Ningxia,Shizuishan,27.8
Ningxia,Wuzhong,214.19
Ningxia,Yinchuan,58.66
Ningxia,Zhongwei,126.59
Qinghai,Guoluo,220.01
Qinghai,Haibei,183.55
Qinghai,Haidong,77.91
Qinghai,Hainanx,404.18
Qinghai,Haixi,3016.1
Qinghai,Huangnan,198.85
Qinghai,Xining,31.15
Qinghai,Yushu,531.4
Shaanxi,Ankang,6.69
Shaanxi,Baoji,17.49
Shaanxi,Hanzhong,4.72
Shaanxi,Shangluo,0.74
Shaanxi,Tongchuan,9.52
Shaanxi,Weinan,20.04
Shaanxi,Xian,9.82
Shaanxi,Xianyang,14.68
Shaanxi,Yanyan,38.1
Shaanxi,Yulinx,125.32
Shandong,Binzhou,19.1
Shandong,Dezhou,15.88
Shandong,Dongying,17.08
Shandong,Heze,20.52
Shandong,Jinan,17.43
Shandong,Jining,18.26
Shandong,Liaocheng,14.06
Shandong,Linyi,30.59
Shandong,Qingdao,18.91
Shandong,Rizhao,8.72
Shandong,Taian,11.97
Shandong,Weifang,33.62
Shandong,Weihai,7.52
Shandong,Yantai,21.89
Shandong,Zhaozhuang,8.52
Shandong,Zibo,11.08
Shanghai,Shanghai,17.26
Shanxi,Changzhi,53.26
Shanxi,Datong,112.43
Shanxi,Jincheng,41.91
Shanxi,Jinzhong,46.1
Shanxi,Linfen,44.5
Shanxi,Lvliang,57.48
Shanxi,Shuozhou,100.99
Shanxi,Taiyuan,52.33
