,2025,2030,2040,2050
PV,0,0,0,0
WT,0,0,0,0
PEM,0.00527,0.004464228,0.00370781,0.002953868
SOE,0.01785,0.008915581,0.00741562,0.00591764
LiB,0.003,0.003,0.003,0.003
HST,0,0,0,0
SST,0,0,0,0
RWS,0.003303896,0.003141972,0.002841543,0.002569841
MSR,0.096965065,0.096965065,0.096965065,0.096965065
CGG,0.005295659,0.005295659,0.005295659,0.005295659
